# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.001           	8.73775700e-02	3.30470918e-02	5.43304782e-02	2.12833863e-01	6.93255876e-02	1.43508276e-01	-3.70913441e-02	-1.06416932e-02	4.36887850e-03	-1.17392848e-21	4.36887850e-03	-4.36887850e-03
0.00102         	8.66110672e-02	3.27042999e-02	5.39067673e-02	2.12024675e-01	6.95027751e-02	1.42521900e-01	-3.65095623e-02	-1.06012337e-02	4.33055336e-03	-1.24747389e-21	4.33055336e-03	-4.33055336e-03
0.00104         	8.58743431e-02	3.23753656e-02	5.34989775e-02	2.11236119e-01	6.96834493e-02	1.41552670e-01	-3.59346102e-02	-1.05618059e-02	4.29371716e-03	-1.32022151e-21	4.29371716e-03	-4.29371716e-03
0.00106         	8.51694132e-02	3.20608711e-02	5.31085421e-02	2.10476710e-01	6.98729617e-02	1.40603749e-01	-3.53653935e-02	-1.05238355e-02	4.25847066e-03	-1.39344834e-21	4.25847066e-03	-4.25847066e-03
0.00108         	8.44967509e-02	3.17606946e-02	5.27360563e-02	2.09753617e-01	7.00753934e-02	1.39678224e-01	-3.48014153e-02	-1.04876809e-02	4.22483754e-03	-1.46643332e-21	4.22483754e-03	-4.22483754e-03
0.0011          	8.38550974e-02	3.14739637e-02	5.23811337e-02	2.09071700e-01	7.02941560e-02	1.38777544e-01	-3.42416941e-02	-1.04535850e-02	4.19275487e-03	-1.53979232e-21	4.19275487e-03	-4.19275487e-03
0.00112         	8.32410526e-02	3.11987844e-02	5.20422682e-02	2.08434837e-01	7.05311728e-02	1.37903664e-01	-3.36862459e-02	-1.04217419e-02	4.16205263e-03	-1.61304344e-21	4.16205263e-03	-4.16205263e-03
0.00114         	8.26495548e-02	3.09326256e-02	5.17169292e-02	2.07843035e-01	7.07869260e-02	1.37056109e-01	-3.31345916e-02	-1.03921518e-02	4.13247774e-03	-1.68864715e-21	4.13247774e-03	-4.13247774e-03
0.00116         	8.20754351e-02	3.06730006e-02	5.14024345e-02	2.07294338e-01	7.10605682e-02	1.36233770e-01	-3.25866009e-02	-1.03647169e-02	4.10377175e-03	-1.76413611e-21	4.10377175e-03	-4.10377175e-03
0.00118         	8.15148720e-02	3.04181314e-02	5.10967406e-02	2.06786091e-01	7.13505493e-02	1.35435542e-01	-3.20424963e-02	-1.03393046e-02	4.07574360e-03	-1.84006869e-21	4.07574360e-03	-4.07574360e-03
0.0012          	8.09664504e-02	3.01675347e-02	5.07989157e-02	2.06313810e-01	7.16542645e-02	1.34659546e-01	-3.15026407e-02	-1.03156905e-02	4.04832252e-03	-1.91614115e-21	4.04832252e-03	-4.04832252e-03
0.00122         	8.04309790e-02	2.99219780e-02	5.05090010e-02	2.05870231e-01	7.19673926e-02	1.33902838e-01	-3.09677228e-02	-1.02935115e-02	4.02154895e-03	-1.99382819e-21	4.02154895e-03	-4.02154895e-03
0.00124         	7.99112046e-02	2.96832832e-02	5.02279214e-02	2.05446382e-01	7.22847519e-02	1.33161630e-01	-3.04384389e-02	-1.02723191e-02	3.99556023e-03	-2.07121678e-21	3.99556023e-03	-3.99556023e-03
0.00126         	7.94103274e-02	2.94534824e-02	4.99568449e-02	2.05033625e-01	7.26019936e-02	1.32431632e-01	-2.99148190e-02	-1.02516813e-02	3.97051637e-03	-2.15089723e-21	3.97051637e-03	-3.97051637e-03
0.00128         	7.89312416e-02	2.92341730e-02	4.96970686e-02	2.04628955e-01	7.29169450e-02	1.31712010e-01	-2.93975326e-02	-1.02314478e-02	3.94656208e-03	-2.23115441e-21	3.94656208e-03	-3.94656208e-03
0.0013          	7.84758427e-02	2.90263213e-02	4.94495214e-02	2.04232001e-01	7.32276271e-02	1.31004374e-01	-2.88883732e-02	-1.02116000e-02	3.92379214e-03	-2.30923552e-21	3.92379214e-03	-3.92379214e-03
0.00132         	7.80444797e-02	2.88303481e-02	4.92141316e-02	2.03837834e-01	7.35327030e-02	1.30305131e-01	-2.83862142e-02	-1.01918917e-02	3.90222399e-03	-2.38699640e-21	3.90222399e-03	-3.90222399e-03
0.00134         	7.76363836e-02	2.86460027e-02	4.89903809e-02	2.03443781e-01	7.38301234e-02	1.29613658e-01	-2.78917673e-02	-1.01721891e-02	3.88181918e-03	-2.46394776e-21	3.88181918e-03	-3.88181918e-03
0.00136         	7.72492050e-02	2.84720682e-02	4.87771368e-02	2.03050685e-01	7.41198405e-02	1.28930845e-01	-2.74055021e-02	-1.01525343e-02	3.86246025e-03	-2.54046259e-21	3.86246025e-03	-3.86246025e-03
0.00138         	7.68796168e-02	2.83067574e-02	4.85728594e-02	2.02661020e-01	7.44025350e-02	1.28258485e-01	-2.69279750e-02	-1.01330510e-02	3.84398084e-03	-2.61479874e-21	3.84398084e-03	-3.84398084e-03
0.0014          	7.65239963e-02	2.81481160e-02	4.83758803e-02	2.02277642e-01	7.46792346e-02	1.27598408e-01	-2.64595866e-02	-1.01138821e-02	3.82619981e-03	-2.68698187e-21	3.82619981e-03	-3.82619981e-03
0.00142         	7.61788334e-02	2.79942080e-02	4.81846254e-02	2.01904173e-01	7.49511960e-02	1.26952977e-01	-2.60008907e-02	-1.00952087e-02	3.80894167e-03	-2.75648067e-21	3.80894167e-03	-3.80894167e-03
0.00144         	7.58414289e-02	2.78434632e-02	4.79979657e-02	2.01545024e-01	7.52200520e-02	1.26324972e-01	-2.55524600e-02	-1.00772512e-02	3.79207144e-03	-2.82293273e-21	3.79207144e-03	-3.79207144e-03
0.00146         	7.55064891e-02	2.76933618e-02	4.78131273e-02	2.01197655e-01	7.54892759e-02	1.25708379e-01	-2.51095515e-02	-1.00598827e-02	3.77532446e-03	-2.89037078e-21	3.77532446e-03	-3.77532446e-03
0.00148         	7.51852075e-02	2.75487582e-02	4.76364493e-02	2.00876911e-01	7.57532000e-02	1.25123711e-01	-2.46852554e-02	-1.00438455e-02	3.75926038e-03	-2.95063750e-21	3.75926038e-03	-3.75926038e-03
0.0015          	7.48662887e-02	2.74040056e-02	4.74622831e-02	2.00582775e-01	7.60192332e-02	1.24563542e-01	-2.42721544e-02	-1.00291388e-02	3.74331443e-03	-3.00669699e-21	3.74331443e-03	-3.74331443e-03
0.00152         	7.45496839e-02	2.72591959e-02	4.72904881e-02	2.00312922e-01	7.62904680e-02	1.24022454e-01	-2.38659930e-02	-1.00156461e-02	3.72748420e-03	-3.06013819e-21	3.72748420e-03	-3.72748420e-03
0.00154         	7.42490497e-02	2.71207319e-02	4.71283178e-02	2.00075859e-01	7.65578891e-02	1.23517970e-01	-2.34800405e-02	-1.00037930e-02	3.71245249e-03	-3.11143012e-21	3.71245249e-03	-3.71245249e-03
0.00156         	7.39519990e-02	2.69825173e-02	4.69694818e-02	1.99869645e-01	7.68320019e-02	1.23037643e-01	-2.31028205e-02	-9.99348224e-03	3.69759995e-03	-3.15754458e-21	3.69759995e-03	-3.69759995e-03
0.00158         	7.36710765e-02	2.68506839e-02	4.68203926e-02	1.99697087e-01	7.71021913e-02	1.22594895e-01	-2.27463521e-02	-9.98485434e-03	3.68355383e-03	-3.20147771e-21	3.68355383e-03	-3.68355383e-03
0.0016          	7.33950270e-02	2.67196042e-02	4.66754228e-02	1.99558187e-01	7.73787708e-02	1.22179416e-01	-2.24003226e-02	-9.97790934e-03	3.66975135e-03	-3.23976829e-21	3.66975135e-03	-3.66975135e-03
0.00162         	7.31351125e-02	2.65951034e-02	4.65400091e-02	1.99449057e-01	7.76497808e-02	1.21799276e-01	-2.20747476e-02	-9.97245283e-03	3.65675562e-03	-3.27893625e-21	3.65675562e-03	-3.65675562e-03
0.00164         	7.28783597e-02	2.64704966e-02	4.64078631e-02	1.99373666e-01	7.79265108e-02	1.21447155e-01	-2.17603220e-02	-9.96868328e-03	3.64391799e-03	-3.31115654e-21	3.64391799e-03	-3.64391799e-03
0.00166         	7.26351968e-02	2.63513010e-02	4.62838958e-02	1.99325948e-01	7.81976134e-02	1.21128335e-01	-2.14653607e-02	-9.96629741e-03	3.63175984e-03	-3.34653820e-21	3.63175984e-03	-3.63175984e-03
0.00168         	7.23916938e-02	2.62302653e-02	4.61614285e-02	1.99311632e-01	7.84740654e-02	1.20837566e-01	-2.11817504e-02	-9.96558158e-03	3.61958469e-03	-3.37611276e-21	3.61958469e-03	-3.61958469e-03
0.0017          	7.21559943e-02	2.61118194e-02	4.60441749e-02	1.99323555e-01	7.87482136e-02	1.20575342e-01	-2.09135640e-02	-9.96617776e-03	3.60779971e-03	-3.40527571e-21	3.60779971e-03	-3.60779971e-03
0.00172         	7.19221541e-02	2.59929862e-02	4.59291678e-02	1.99361816e-01	7.90217107e-02	1.20340106e-01	-2.06591975e-02	-9.96809082e-03	3.59610770e-03	-3.43271979e-21	3.59610770e-03	-3.59610770e-03
0.00174         	7.16883931e-02	2.58730114e-02	4.58153818e-02	1.99423704e-01	7.92944563e-02	1.20129247e-01	-2.04173955e-02	-9.97118518e-03	3.58441966e-03	-3.45989868e-21	3.58441966e-03	-3.58441966e-03
0.00176         	7.14530154e-02	2.57511368e-02	4.57018786e-02	1.99507417e-01	7.95668647e-02	1.19940553e-01	-2.01868439e-02	-9.97537087e-03	3.57265077e-03	-3.48416871e-21	3.57265077e-03	-3.57265077e-03
0.00178         	7.12149452e-02	2.56269510e-02	4.55879942e-02	1.99610431e-01	7.98387390e-02	1.19771692e-01	-1.99664767e-02	-9.98052157e-03	3.56074726e-03	-3.50830583e-21	3.56074726e-03	-3.56074726e-03
0.0018          	7.09731100e-02	2.55000477e-02	4.54730623e-02	1.99730147e-01	8.01099138e-02	1.19620233e-01	-1.97551596e-02	-9.98650733e-03	3.54865550e-03	-3.53197416e-21	3.54865550e-03	-3.54865550e-03
0.00182         	7.07268351e-02	2.53702344e-02	4.53566007e-02	1.99863662e-01	8.03802580e-02	1.19483404e-01	-1.95515732e-02	-9.99318311e-03	3.53634175e-03	-3.55463917e-21	3.53634175e-03	-3.53634175e-03
0.00184         	7.04756247e-02	2.52373859e-02	4.52382388e-02	2.00008529e-01	8.06492659e-02	1.19359263e-01	-1.93549983e-02	-1.00004264e-02	3.52378123e-03	-3.57891749e-21	3.52378123e-03	-3.52378123e-03
0.00186         	7.02205490e-02	2.51022775e-02	4.51182715e-02	2.00159941e-01	8.09151970e-02	1.19244744e-01	-1.91647733e-02	-1.00079970e-02	3.51102745e-03	-3.60355446e-21	3.51102745e-03	-3.51102745e-03
0.00188         	6.99588892e-02	2.49634667e-02	4.49954225e-02	2.00319558e-01	8.11800623e-02	1.19139495e-01	-1.89797165e-02	-1.00159779e-02	3.49794446e-03	-3.62584162e-21	3.49794446e-03	-3.49794446e-03
0.0019          	6.96930569e-02	2.48223682e-02	4.48706887e-02	2.00483204e-01	8.14422376e-02	1.19040967e-01	-1.87993646e-02	-1.00241602e-02	3.48465285e-03	-3.65167286e-21	3.48465285e-03	-3.48465285e-03
0.00192         	6.94244591e-02	2.46798194e-02	4.47446397e-02	2.00648203e-01	8.17010189e-02	1.18947184e-01	-1.86230827e-02	-1.00324102e-02	3.47122295e-03	-3.67724952e-21	3.47122295e-03	-3.47122295e-03
0.00194         	6.91526737e-02	2.45357695e-02	4.46169042e-02	2.00811347e-01	8.19569812e-02	1.18854366e-01	-1.84486923e-02	-1.00405674e-02	3.45763368e-03	-3.70365418e-21	3.45763368e-03	-3.45763368e-03
0.00196         	6.88809838e-02	2.43917341e-02	4.44892497e-02	2.00975156e-01	8.22096605e-02	1.18765496e-01	-1.82779177e-02	-1.00487578e-02	3.44404919e-03	-3.73114391e-21	3.44404919e-03	-3.44404919e-03
0.00198         	6.86112667e-02	2.42485839e-02	4.43626827e-02	2.01140988e-01	8.24592421e-02	1.18681746e-01	-1.81112518e-02	-1.00570494e-02	3.43056333e-03	-3.75894531e-21	3.43056333e-03	-3.43056333e-03
0.002           	6.83446797e-02	2.41069323e-02	4.42377473e-02	2.01308150e-01	8.27059224e-02	1.18602228e-01	-1.79481526e-02	-1.00654075e-02	3.41723398e-03	-3.78668436e-21	3.41723398e-03	-3.41723398e-03
0.00202         	6.80823130e-02	2.39673299e-02	4.41149831e-02	2.01476531e-01	8.29502154e-02	1.18526316e-01	-1.77880503e-02	-1.00738266e-02	3.40411565e-03	-3.81556715e-21	3.40411565e-03	-3.40411565e-03
