# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.60000000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00068         	1.09706857e-02	-1.42170050e-03	1.23923862e-02	1.38140867e-01	3.93603315e-02	9.87805353e-02	-2.97101019e-02	-6.90704334e-03	5.48534284e-04	8.41717189e-23	5.48534284e-04	-5.48534284e-04
0.0007          	1.02559593e-02	-1.67014414e-03	1.19261035e-02	1.35962476e-01	3.93473384e-02	9.66151378e-02	-2.86338997e-02	-6.79812381e-03	5.12797967e-04	2.46800675e-23	5.12797967e-04	-5.12797967e-04
0.00072         	9.56899132e-03	-1.90574964e-03	1.14747410e-02	1.33804906e-01	3.93538181e-02	9.44510879e-02	-2.75486349e-02	-6.69024530e-03	4.78449566e-04	-3.46831892e-23	4.78449566e-04	-4.78449566e-04
0.00074         	8.90929644e-03	-2.12894269e-03	1.10382391e-02	1.31671818e-01	3.93813109e-02	9.22905072e-02	-2.64545982e-02	-6.58359091e-03	4.45464822e-04	-9.37053381e-23	4.45464822e-04	-4.45464822e-04
0.00076         	8.27581772e-03	-2.34003536e-03	1.06158531e-02	1.29558884e-01	3.94257525e-02	9.01331320e-02	-2.53536897e-02	-6.47794422e-03	4.13790886e-04	-1.52947553e-22	4.13790886e-04	-4.13790886e-04
0.00078         	7.66694224e-03	-2.53972912e-03	1.02066714e-02	1.27464005e-01	3.94846856e-02	8.79793191e-02	-2.42473167e-02	-6.37320024e-03	3.83347112e-04	-2.12429503e-22	3.83347112e-04	-3.83347112e-04
0.0008          	7.08319393e-03	-2.72774151e-03	9.81093544e-03	1.25386769e-01	3.95566322e-02	8.58301372e-02	-2.31367525e-02	-6.26933847e-03	3.54159696e-04	-2.71927004e-22	3.54159696e-04	-3.54159696e-04
0.00082         	6.52342999e-03	-2.90446361e-03	9.42789360e-03	1.23323572e-01	3.96378920e-02	8.36856802e-02	-2.20238941e-02	-6.16617861e-03	3.26171500e-04	-3.30378478e-22	3.26171500e-04	-3.26171500e-04
0.00084         	5.99249834e-03	-3.07018796e-03	9.06268629e-03	1.21328743e-01	3.97345731e-02	8.15941694e-02	-2.09297981e-02	-6.06643713e-03	2.99624917e-04	-3.88547205e-22	2.99624917e-04	-2.99624917e-04
0.00086         	5.48476865e-03	-3.22537281e-03	8.71014146e-03	1.19355143e-01	3.98350946e-02	7.95200481e-02	-1.98424767e-02	-5.96775714e-03	2.74238433e-04	-4.46391529e-22	2.74238433e-04	-2.74238433e-04
