# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.01096938e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00062         	8.28332743e-02	-4.05177063e-03	8.68850449e-02	9.09368155e-01	2.49097536e-01	6.60270619e-01	-2.05586541e-01	-4.54684078e-02	4.14166371e-03	1.41698043e-21	4.14166371e-03	-4.14166371e-03
0.00064         	7.77786799e-02	-5.86926441e-03	8.36479443e-02	8.95172087e-01	2.48539282e-01	6.46632806e-01	-1.99046762e-01	-4.47586044e-02	3.88893400e-03	1.03331126e-21	3.88893400e-03	-3.88893400e-03
0.00066         	7.29233989e-02	-7.59593422e-03	8.05193331e-02	8.81152673e-01	2.48143350e-01	6.33009323e-01	-1.92432987e-01	-4.40576337e-02	3.64616994e-03	6.59272744e-22	3.64616994e-03	-3.64616994e-03
0.00068         	6.82545192e-02	-9.23783942e-03	7.74923586e-02	8.67301981e-01	2.47906123e-01	6.19395858e-01	-1.85744867e-01	-4.33650990e-02	3.41272596e-03	2.87458616e-22	3.41272596e-03	-3.41272596e-03
0.0007          	6.37687720e-02	-1.07966636e-02	7.45654356e-02	8.53620992e-01	2.47816920e-01	6.05804072e-01	-1.78993576e-01	-4.26810496e-02	3.18843860e-03	-7.76483056e-23	3.18843860e-03	-3.18843860e-03
0.00072         	5.94563583e-02	-1.22759746e-02	7.17323329e-02	8.40083076e-01	2.47856623e-01	5.92226453e-01	-1.72184915e-01	-4.20041538e-02	2.97281791e-03	-4.43524310e-22	2.97281791e-03	-2.97281791e-03
0.00074         	5.53166786e-02	-1.36754322e-02	6.89921108e-02	8.26675430e-01	2.48008182e-01	5.78667248e-01	-1.65329533e-01	-4.13337715e-02	2.76583393e-03	-8.04404925e-22	2.76583393e-03	-2.76583393e-03
0.00076         	5.13414794e-02	-1.49994649e-02	6.63409443e-02	8.13404092e-01	2.48272779e-01	5.65131313e-01	-1.58429267e-01	-4.06702046e-02	2.56707397e-03	-1.16994769e-21	2.56707397e-03	-2.56707397e-03
0.00078         	4.75196486e-02	-1.62527402e-02	6.37723887e-02	8.00251289e-01	2.48628795e-01	5.51622494e-01	-1.51496850e-01	-4.00125644e-02	2.37598243e-03	-1.52716465e-21	2.37598243e-03	-2.37598243e-03
0.0008          	4.38564833e-02	-1.74323232e-02	6.12888065e-02	7.87211297e-01	2.49064147e-01	5.38147151e-01	-1.44541502e-01	-3.93605649e-02	2.19282416e-03	-1.88844936e-21	2.19282416e-03	-2.19282416e-03
0.00082         	4.03436026e-02	-1.85412212e-02	5.88848238e-02	7.74260450e-01	2.49556572e-01	5.24703878e-01	-1.37573653e-01	-3.87130225e-02	2.01718013e-03	-2.25182286e-21	2.01718013e-03	-2.01718013e-03
0.00084         	3.70061754e-02	-1.95800922e-02	5.65862676e-02	7.61663598e-01	2.50118265e-01	5.11545333e-01	-1.30713534e-01	-3.80831799e-02	1.85030877e-03	-2.60563220e-21	1.85030877e-03	-1.85030877e-03
0.00086         	3.38253437e-02	-2.05525479e-02	5.43778916e-02	7.49304395e-01	2.50722590e-01	4.98581805e-01	-1.23929608e-01	-3.74652197e-02	1.69126718e-03	-2.96042757e-21	1.69126718e-03	-1.69126718e-03
0.00088         	3.07969823e-02	-2.14602481e-02	5.22572303e-02	7.37174784e-01	2.51355619e-01	4.85819165e-01	-1.17231773e-01	-3.68587392e-02	1.53984911e-03	-3.30978341e-21	1.53984911e-03	-1.53984911e-03
0.0009          	2.79164177e-02	-2.23053812e-02	5.02217989e-02	7.25271801e-01	2.52005784e-01	4.73266017e-01	-1.10630116e-01	-3.62635901e-02	1.39582088e-03	-3.65527699e-21	1.39582088e-03	-1.39582088e-03
0.00092         	2.51783055e-02	-2.30907301e-02	4.82690357e-02	7.13597658e-01	2.52663950e-01	4.60933707e-01	-1.04134878e-01	-3.56798829e-02	1.25891528e-03	-3.99484339e-21	1.25891528e-03	-1.25891528e-03
0.00094         	2.25789890e-02	-2.38159812e-02	4.63949702e-02	7.02109514e-01	2.53300446e-01	4.48809068e-01	-9.77543111e-02	-3.51054757e-02	1.12894945e-03	-4.40215341e-21	1.12894945e-03	-1.12894945e-03
0.00096         	2.01112489e-02	-2.44874526e-02	4.45987015e-02	6.90861541e-01	2.53936102e-01	4.36925439e-01	-9.14946686e-02	-3.45430771e-02	1.00556244e-03	-4.72891303e-21	1.00556244e-03	-1.00556244e-03
0.00098         	1.77698928e-02	-2.51073921e-02	4.28772849e-02	6.79846770e-01	2.54563338e-01	4.25283432e-01	-8.53600467e-02	-3.39923385e-02	8.88494639e-04	-5.04319195e-21	8.88494639e-04	-8.88494639e-04
0.001           	1.55514774e-02	-2.56763893e-02	4.12278667e-02	6.69042560e-01	2.55166770e-01	4.13875790e-01	-7.93545097e-02	-3.34521280e-02	7.77573872e-04	-5.34829985e-21	7.77573872e-04	-7.77573872e-04
0.00102         	1.34517327e-02	-2.61955051e-02	3.96472378e-02	6.58427428e-01	2.55734275e-01	4.02693154e-01	-7.34794395e-02	-3.29213714e-02	6.72586634e-04	-5.63721217e-21	6.72586634e-04	-6.72586634e-04
0.00104         	1.14652757e-02	-2.66665593e-02	3.81318350e-02	6.47983942e-01	2.56257663e-01	3.91726279e-01	-6.77343083e-02	-3.23991971e-02	5.73263784e-04	-5.91144242e-21	5.73263784e-04	-5.73263784e-04
0.00106         	9.58804538e-03	-2.70897223e-02	3.66777677e-02	6.37674900e-01	2.56719319e-01	3.80955581e-01	-6.21181307e-02	-3.18837450e-02	4.79402269e-04	-6.16511592e-21	4.79402269e-04	-4.79402269e-04
0.00108         	7.81454278e-03	-2.74748922e-02	3.52894349e-02	6.27643271e-01	2.57138130e-01	3.70505141e-01	-5.66835057e-02	-3.13821636e-02	3.90727139e-04	-6.40188268e-21	3.90727139e-04	-3.90727139e-04
0.0011          	6.13506195e-03	-2.78222556e-02	3.39573175e-02	6.17795731e-01	2.57470185e-01	3.60325546e-01	-5.14276809e-02	-3.08897866e-02	3.06753097e-04	-6.60997862e-21	3.06753097e-04	-3.06753097e-04
0.00112         	4.55305906e-03	-2.81335305e-02	3.26865896e-02	6.08201201e-01	2.57761003e-01	3.50440197e-01	-4.63395971e-02	-3.04100600e-02	2.27652953e-04	-6.79471815e-21	2.27652953e-04	-2.27652953e-04
0.00114         	3.06113962e-03	-2.84109198e-02	3.14720594e-02	5.98829792e-01	2.57990694e-01	3.40839098e-01	-4.14242020e-02	-2.99414896e-02	1.53056981e-04	-6.95922528e-21	1.53056981e-04	-1.53056981e-04
0.00116         	1.65284117e-03	-2.86565297e-02	3.03093708e-02	5.89659005e-01	2.58148118e-01	3.31510887e-01	-3.66813842e-02	-2.94829503e-02	8.26420585e-05	-7.09925236e-21	8.26420585e-05	-8.26420585e-05
0.00118         	3.24359862e-04	-2.88709649e-02	2.91953247e-02	5.80662896e-01	2.58219382e-01	3.22443515e-01	-3.21120666e-02	-2.90331448e-02	1.62179931e-05	-7.21478794e-21	1.62179931e-05	-1.62179931e-05
0.0012          	-9.31103940e-04	-2.90577851e-02	2.81266812e-02	5.71844663e-01	2.58207015e-01	3.13637648e-01	-2.77153168e-02	-2.85922331e-02	-4.65551970e-05	-7.31356259e-21	-4.65551970e-05	4.65551970e-05
0.00122         	-2.11919208e-03	-2.92191865e-02	2.70999944e-02	5.63191809e-01	2.58105454e-01	3.05086355e-01	-2.34904508e-02	-2.81595905e-02	-1.05959604e-04	-7.39306358e-21	-1.05959604e-04	1.05959604e-04
0.00124         	-3.24714024e-03	-2.93585733e-02	2.61114330e-02	5.54700063e-01	2.57910216e-01	2.96789847e-01	-1.94398154e-02	-2.77350032e-02	-1.62357012e-04	-7.45671330e-21	-1.62357012e-04	1.62357012e-04
0.00126         	-4.32135481e-03	-2.94788501e-02	2.51574953e-02	5.46363454e-01	2.57617712e-01	2.88745742e-01	-1.55640153e-02	-2.73181727e-02	-2.16067740e-04	-7.50442181e-21	-2.16067740e-04	2.16067740e-04
0.00128         	-5.34932759e-03	-2.95838220e-02	2.42344944e-02	5.38183165e-01	2.57228491e-01	2.80954673e-01	-1.18630912e-02	-2.69091582e-02	-2.67466379e-04	-7.54460951e-21	-2.67466379e-04	2.67466379e-04
0.0013          	-6.33274543e-03	-2.96793361e-02	2.33465907e-02	5.30259268e-01	2.56749370e-01	2.73509898e-01	-8.38026404e-03	-2.65129634e-02	-3.16637271e-04	-7.57959333e-21	-3.16637271e-04	3.16637271e-04
0.00132         	-7.27499687e-03	-2.97652614e-02	2.24902645e-02	5.22555259e-01	2.56177188e-01	2.66378070e-01	-5.10044091e-03	-2.61277629e-02	-3.63749844e-04	-7.60951286e-21	-3.63749844e-04	3.63749844e-04
0.00134         	-8.17743872e-03	-2.98418317e-02	2.16643929e-02	5.15062246e-01	2.55511843e-01	2.59550402e-01	-2.01927958e-03	-2.57531123e-02	-4.08871936e-04	-7.63179440e-21	-4.08871936e-04	4.08871936e-04
0.00136         	-9.04158641e-03	-2.99093625e-02	2.08677761e-02	5.07771386e-01	2.54755016e-01	2.53016370e-01	8.69322807e-04	-2.53885693e-02	-4.52079320e-04	-7.65278655e-21	-4.52079320e-04	4.52079320e-04
0.00138         	-9.87088646e-03	-2.99689691e-02	2.00980826e-02	5.00670518e-01	2.53906894e-01	2.46763624e-01	3.57163508e-03	-2.50335259e-02	-4.93544323e-04	-7.67663025e-21	-4.93544323e-04	4.93544323e-04
0.0014          	-1.06654096e-02	-3.00205392e-02	1.93551296e-02	4.93756688e-01	2.52973940e-01	2.40782749e-01	6.09559554e-03	-2.46878344e-02	-5.33270478e-04	-7.68628772e-21	-5.33270478e-04	5.33270478e-04
0.00142         	-1.14317921e-02	-3.00666873e-02	1.86348953e-02	4.87015826e-01	2.51957726e-01	2.35058099e-01	8.44981353e-03	-2.43507913e-02	-5.71589603e-04	-7.70648865e-21	-5.71589603e-04	5.71589603e-04
0.00144         	-1.21720023e-02	-3.01080525e-02	1.79360501e-02	4.80441026e-01	2.50862846e-01	2.29578180e-01	1.06423331e-02	-2.40220513e-02	-6.08600117e-04	-7.72308982e-21	-6.08600117e-04	6.08600117e-04
0.00146         	-1.28901944e-02	-3.01462302e-02	1.72560358e-02	4.74022660e-01	2.49693658e-01	2.24329002e-01	1.26823277e-02	-2.37011330e-02	-6.44509719e-04	-7.74160474e-21	-6.44509719e-04	6.44509719e-04
0.00148         	-1.35895143e-02	-3.01825220e-02	1.65930077e-02	4.67755296e-01	2.48456040e-01	2.19299256e-01	1.45783922e-02	-2.33877648e-02	-6.79475716e-04	-7.76265070e-21	-6.79475716e-04	6.79475716e-04
0.0015          	-1.42720551e-02	-3.02177821e-02	1.59457269e-02	4.61635090e-01	2.47157244e-01	2.14477846e-01	1.63396987e-02	-2.30817545e-02	-7.13602757e-04	-7.77982055e-21	-7.13602757e-04	7.13602757e-04
0.00152         	-1.49360243e-02	-3.02545372e-02	1.53185129e-02	4.55730501e-01	2.45818277e-01	2.09912224e-01	1.79530264e-02	-2.27865251e-02	-7.46801216e-04	-7.80569212e-21	-7.46801216e-04	7.46801216e-04
0.00154         	-1.55815412e-02	-3.02904438e-02	1.47089026e-02	4.49993464e-01	2.44439109e-01	2.05554355e-01	1.94423772e-02	-2.24996732e-02	-7.79077061e-04	-7.82465106e-21	-7.79077061e-04	7.79077061e-04
0.00156         	-1.62061719e-02	-3.03238502e-02	1.41176783e-02	4.44415285e-01	2.43024383e-01	2.01390902e-01	2.08167403e-02	-2.22207642e-02	-8.10308596e-04	-7.83527971e-21	-8.10308596e-04	8.10308596e-04
